ID,Header,Requirement,Active Subject,Action,When,Value
268,"Strengthened Assessment Requirements (Appendix F, §§ 192.493, 192.506, 192.921(a))","For the updated ILI standards, some GPAC members requested PHMSA delete the “requirements and recommendations” language in § 192.493 and other places where standards are incorporated by reference to avoid the consequence that non-mandatory recommendations in the standards would become regulatory requirements.",some GPAC members,requested For the updated ILI standards the updated ILI standards PHMSA delete the “ requirements and recommendations ” language in §   192.493 and other places where standards are incorporated by reference to avoid the consequence that non - mandatory recommendations in the standards would become regulatory requirements the “ requirements and recommendations ” language in §   192.493 and other places where standards are incorporated by reference to avoid the consequence that non - mandatory recommendations in the standards would become regulatory requirements in §   192.493 and other places where standards are incorporated by reference to avoid the consequence that non - mandatory recommendations in the standards would become regulatory requirements §   192.493 and other places where standards are incorporated by reference to avoid the consequence that non - mandatory recommendations in the standards would become regulatory requirements where are reference to to avoid the consequence that non - mandatory recommendations in the standards would become regulatory requirements the consequence that non - mandatory recommendations in the standards would become regulatory requirements in the standards the standards would regulatory requirements,always,['192.493 and']
269,"Strengthened Assessment Requirements (Appendix F, §§ 192.493, 192.506, 192.921(a))","Following the discussion, the GPAC voted 10-0 that the provisions related to strengthened assessment requirements pertaining to in-line assessment standards were technically feasible, reasonable, cost-effective, and practicable if PHMSA struck the phrase “the requirements and recommendations of” from the appropriate paragraph in § 192.493.",the GPAC,"voted Following the discussion the discussion 0 to strengthened assessment requirements pertaining to in - line assessment standards strengthened assessment requirements pertaining to in - line assessment standards to in - line assessment standards line in - line assessment standards that the provisions related to strengthened assessment requirements pertaining to in - line assessment standards were technically feasible , reasonable , cost - effective , and practicable if PHMSA struck the phrase “ the requirements and recommendations of ” from the appropriate paragraph in §   192.493 technically technically feasible , reasonable , cost - effective if PHMSA struck the phrase “ the requirements and recommendations of ” from the appropriate paragraph in §   192.493 the phrase “ the requirements and recommendations of ” from the appropriate paragraph in §   192.493 of ” from the appropriate paragraph in §   192.493 the appropriate paragraph in §   192.493 in §   192.493 §   192.493",if,"['10-0 that', '192.493']"
270,"Strengthened Assessment Requirements (Appendix F, §§ 192.493, 192.506, 192.921(a))","The GPAC also recommended that PHMSA delete the proposed requirement in the baseline assessment method that required a review of ILI results by knowledgeable individuals, since it is duplicative with other existing requirements elsewhere in the regulations.",The GPAC,"recommended also that PHMSA delete the proposed requirement in the baseline assessment method that required a review of ILI results by knowledgeable individuals , since it is duplicative with other existing requirements elsewhere in the regulations the proposed requirement in the baseline assessment method that required a review of ILI results by knowledgeable individuals , since it is duplicative with other existing requirements elsewhere in the regulations in the baseline assessment method that required a review of ILI results by knowledgeable individuals , since it is duplicative with other existing requirements elsewhere in the regulations the baseline assessment method that required a review of ILI results by knowledgeable individuals , since it is duplicative with other existing requirements elsewhere in the regulations a review of ILI results by knowledgeable individuals of ILI results by knowledgeable individuals ILI results by knowledgeable individuals by knowledgeable individuals knowledgeable individuals since it is duplicative with other existing requirements elsewhere in the regulations duplicative with other existing requirements elsewhere in the regulations with other existing requirements elsewhere in the regulations other existing requirements elsewhere in the regulations elsewhere in the regulations in the regulations the regulations",always,
271,"Strengthened Assessment Requirements (Appendix F, §§ 192.493, 192.506, 192.921(a))","Further, some GPAC members expressed concern that all tools cannot meet the 90 percent tool tolerance that is specified in the referenced industry standard.",some GPAC members,can expressed Further concern that all tools can not meet the 90 percent tool tolerance that is specified in the referenced industry standard can the 90 percent tool tolerance that is specified in the referenced industry standard is in the referenced industry standard the referenced industry standard,always,['90 percent']
272,"Strengthened Assessment Requirements (Appendix F, §§ 192.493, 192.506, 192.921(a))","PHMSA representatives noted that the rule would not require that every tool perform within a 90 percent specification rate, but that actual tool performance should be verified and applied when ILI data is interpreted.",PHMSA representatives,"should noted would that the rule would not require that every tool perform within a 90 percent specification rate , but that actual tool performance should be verified and applied when ILI data is interpreted that every tool perform within a 90 percent specification rate , but that actual tool performance should be verified and applied when ILI data is interpreted within a 90 percent specification rate a 90 percent specification rate should be when is when ILI data is interpreted",when,['90 percent']
273,"Strengthened Assessment Requirements (Appendix F, §§ 192.493, 192.506, 192.921(a))","Following the discussion, the GPAC voted 10-0 that the provisions related to strengthening the conduct of a baseline integrity assessment were technically feasible, reasonable, cost-effective, and practicable if PHMSA revised the requirements to clarify that operators must select assessment methods based on the threats to which the pipeline is susceptible and removed language in the provision that is duplicative with requirements elsewhere in the regulations; clarified that direct assessment is allowed where appropriate but may not be used to assess threats for which the method is not suitable; and incorporated the same objection procedure the committee approved for the material properties verification provisions and with a PHMSA review timeframe of 90 days.",the GPAC,"may voted Following the discussion the discussion 0 to strengthening the conduct of a baseline integrity assessment the conduct of a baseline integrity assessment of a baseline integrity assessment a baseline integrity assessment that the provisions related to strengthening the conduct of a baseline integrity assessment were technically feasible , reasonable , cost - effective , and practicable if PHMSA revised the requirements to clarify that operators must select assessment methods based on the threats to which the pipeline is susceptible and removed language in the provision that is duplicative with requirements elsewhere in the regulations technically technically feasible , reasonable , cost - effective if PHMSA revised the requirements to clarify that operators must select assessment methods based on the threats to which the pipeline is susceptible and removed language in the provision that is duplicative with requirements elsewhere in the regulations the requirements to to clarify that operators must select assessment methods based on the threats to which the pipeline is susceptible and removed language in the provision that is duplicative with requirements elsewhere in the regulations must that operators must select assessment methods based on the threats to which the pipeline is susceptible and removed language in the provision that is duplicative with requirements elsewhere in the regulations assessment methods based on the threats to which the pipeline is susceptible and removed language in the provision that is duplicative with requirements elsewhere in the regulations on the threats to which the pipeline is susceptible and removed language in the provision that is duplicative with requirements elsewhere in the regulations the threats to which the pipeline is susceptible and removed language in the provision that is duplicative with requirements elsewhere in the regulations which susceptible and removed language in the provision that is duplicative with requirements elsewhere in the regulations in the provision that is duplicative with requirements elsewhere in the regulations the provision that is duplicative with requirements elsewhere in the regulations duplicative with requirements elsewhere in the regulations with requirements elsewhere in the regulations requirements elsewhere in the regulations elsewhere in the regulations in the regulations the regulations is that direct assessment is allowed where appropriate but may not be used to assess threats for which the method is not suitable where may be where appropriate but may not be used to assess threats for which the method is not suitable to to assess threats for which the method is not suitable threats for which the method is not suitable for which which suitable the same objection procedure the committee approved for the material properties verification provisions for the material properties the material properties provisions a PHMSA review timeframe of 90 days of 90 days 90 days",if,"['10-0 that', '90 days']"
274,"Strengthened Assessment Requirements (Appendix F, §§ 192.493, 192.506, 192.921(a))","Specifically, some GPAC members recommended that the spike test should be performed at a pressure level of 100 percent SMYS, and not 105 percent, to account for varying elevations and test segment lengths.",some GPAC members,"should recommended Specifically should be that the spike test should be performed at a pressure level of 100 percent SMYS , and not 105 percent , to account for varying elevations and test segment lengths at a pressure level of 100 percent SMYS a pressure level of 100 percent SMYS of 100 percent SMYS 100 percent SMYS to to account for varying elevations and test segment lengths for varying elevations and test segment lengths elevations and test segment lengths",always,"['100 percent', '105 percent']"
275,"Strengthened Assessment Requirements (Appendix F, §§ 192.493, 192.506, 192.921(a))","Further, the GPAC recommended PHMSA clarify that spike testing should be performed against the threat of “time-dependent cracking” and remove instances in other sections of the regulations where PHMSA listed the threats for which a spike pressure test is appropriate.",the GPAC,should recommended Further PHMSA clarify should be that spike testing should be performed against the threat of “ time - dependent cracking ” and remove instances in other sections of the regulations where PHMSA listed the threats for which a spike pressure test is appropriate against the threat of “ time - dependent cracking ” the threat of “ time - dependent cracking ” of “ time - dependent cracking ” “ time - dependent cracking instances in other sections of the regulations where PHMSA listed the threats for which a spike pressure test is appropriate other sections of the regulations where PHMSA listed the threats for which a spike pressure test is appropriate of the regulations where PHMSA listed the threats for which a spike pressure test is appropriate the regulations where PHMSA listed the threats for which a spike pressure test is appropriate where the threats for which a spike pressure test is appropriate for which which appropriate,always,
276,"Strengthened Assessment Requirements (Appendix F, §§ 192.493, 192.506, 192.921(a))","Following the discussion, the committee voted 10-0 that the provisions related to the “spike” hydrostatic pressure test method were technically feasible, reasonable, cost-effective, and practicable if PHMSA changed the minimum spike pressure to whichever is lesser: 100 percent SMYS or 1.5 times MAOP, reduced the spike hold time to a minimum of 15 minutes after the spike pressure stabilizes, referred to “time-dependent cracking” in the section, incorporated the same objection procedure the committee approved for the material properties verification provisions and with a PHMSA review timeframe of 90 days, and incorporated the term “qualified technical subject matter expert” (SME) at the SME requirements.",the committee,"reduced Following the discussion the discussion Following the discussion , the committee voted 10 - 0 that the provisions related to the “ spike ” hydrostatic pressure test method were technically feasible , reasonable , cost - effective , and practicable if PHMSA changed the minimum spike pressure to whichever is lesser 0 to the “ spike ” hydrostatic pressure test method the “ spike ” hydrostatic pressure test method that the provisions related to the “ spike ” hydrostatic pressure test method were technically feasible , reasonable , cost - effective , and practicable if PHMSA changed the minimum spike pressure to whichever is lesser technically technically feasible , reasonable , cost - effective if PHMSA changed the minimum spike pressure to whichever the minimum spike pressure to whichever to whichever whichever is lesser lesser the spike hold time to a minimum of 15 minutes after the spike pressure stabilizes , referred to “ time - dependent cracking ” in the section time to a minimum of 15 minutes after the spike pressure stabilizes , referred to “ time - dependent cracking ” in the section a minimum of 15 minutes after the spike pressure stabilizes , referred to “ time - dependent cracking ” in the section of 15 minutes after the spike pressure stabilizes , 15 minutes after the spike pressure stabilizes , to “ time - dependent cracking ” time - dependent cracking ” in the section the section the same objection procedure the committee approved for the material properties verification provisions for the material properties the material properties provisions a PHMSA review timeframe of 90 days of 90 days 90 days the term “ qualified technical subject matter expert ” ( SME ) at the SME requirements at the SME requirements the SME requirements",if,"['10-0 that', '100 percent', '1.5 times', '15 minutes', '90 days']"
277,"Strengthened Assessment Requirements (Appendix F, §§ 192.493, 192.506, 192.921(a))","The GPAC did not have major concerns with incorporating the GWUT procedures into the regulations and voted 13-0 that the provisions related to the GWUT process were technically feasible, reasonable, cost-effective, and practicable if PHMSA revised the objection procedure as recommended by GPAC members during the discussion on the proposed material properties verification requirements and considering certain minor technical recommendations made by the GPAC members.",The GPAC,"have did major concerns with incorporating the GWUT procedures into the regulations with incorporating the GWUT procedures into the regulations the GWUT procedures into the regulations the regulations - 0 to the GWUT process the GWUT process that the provisions related to the GWUT process were technically feasible , reasonable , cost - effective , and practicable if PHMSA revised the objection procedure as recommended by GPAC members during the discussion on the proposed material properties verification requirements and considering certain minor technical recommendations made by the GPAC members technically technically feasible , reasonable , cost - effective if PHMSA revised the objection procedure as recommended by GPAC members during the discussion on the proposed material properties verification requirements and considering certain minor technical recommendations made by the GPAC members the objection procedure as recommended by GPAC members during the discussion on the proposed material properties GPAC members during the discussion on the proposed material properties the discussion on the proposed material properties on the proposed material properties the proposed material properties verification requirements certain minor technical recommendations made by the GPAC members the GPAC members",if,['13-0 that']
278,Moderate Consequence Area Definition (§ 192.3),"In the NPRM, PHMSA proposed a new definition for “Moderate Consequence Areas” (MCA) which would be areas operators would have to assess per the proposed requirements for performing integrity assessments outside of HCAs.",PHMSA,proposed In the NPRM the NPRM a new definition for “ Moderate Consequence Areas ” ( MCA ) which would be areas for “ Moderate Consequence Areas ” ( MCA ) which would be areas “ Moderate Consequence Areas ” ( MCA ) which would be areas would areas would operators would have to assess per the proposed requirements for performing integrity assessments outside of HCAs to to assess per the proposed requirements for performing integrity assessments outside of HCAs per the proposed requirements for performing integrity assessments outside of HCAs the proposed requirements for performing integrity assessments outside of HCAs for performing integrity assessments outside of HCAs integrity assessments outside of HCAs of HCAs HCAs,always,
279,Moderate Consequence Area Definition (§ 192.3),"The GPAC asked whether PHMSA believed that qualifier applies to pipelines that can be fully assessed by a traditional, free-swimming ILI tool without further modification to the pipeline, and PHMSA noted during the meeting that a “piggable” line would be one without physical or operational modifications.",The GPAC,"can asked whether PHMSA believed that qualifier applies to pipelines that can be fully assessed by a traditional , free - swimming ILI tool without further modification to the pipeline that qualifier applies to pipelines that can be fully assessed by a traditional , free - swimming ILI tool without further modification to the pipeline to pipelines that can be fully assessed by a traditional , free - swimming ILI tool without further modification to the pipeline pipelines that can be fully assessed by a traditional , free - swimming ILI tool without further modification to the pipeline can be fully a traditional , free - swimming ILI tool without further modification to the pipeline further modification to the pipeline to the pipeline the pipeline during the meeting the meeting would that a “ piggable ” line would be one without physical or operational modifications one without physical or operational modifications without physical or operational modifications physical or operational modifications",during the meeting,
280,Moderate Consequence Area Definition (§ 192.3),"Industry members argued that, from a practicability standpoint, determining whether five people were in a location at any given time could be difficult, and there was significant overlap between “occupied sites” and the class locations that would need to be assessed per the proposal.",Industry members,"argued from a practicability standpoint a practicability standpoint whether five people were in a location at any given time in a location a location at any given time any given time could that , from a practicability standpoint , determining whether five people were in a location at any given time could be difficult difficult significant overlap between “ occupied sites between “ occupied sites “ occupied sites would to be to be assessed per the proposal per the proposal the proposal",always,
281,Moderate Consequence Area Definition (§ 192.3),"Several GPAC members discussed whether PHMSA should create a database or provide other guidance on which highways should be included in the MCA definition for consistency between PHMSA, State regulators, and operators.",Several GPAC members,"should discussed should whether PHMSA should create a database or provide other guidance on which highways should be included in the MCA definition for consistency between PHMSA , State regulators , and operators a database other guidance on which highways should be included in the MCA definition for consistency between PHMSA , State regulators , and operators on which which should be in the MCA definition for consistency between PHMSA , State regulators , and operators the MCA definition for consistency between PHMSA , State regulators , and operators for consistency between PHMSA , State regulators , and operators consistency between PHMSA , State regulators , and operators between PHMSA , State regulators , and operators PHMSA , State regulators , and operators",always,
282,Assessments Outside of HCAs (§ 192.710),"In the NPRM, PHMSA proposed to require operators perform integrity assessments of certain pipelines outside of HCAs.",PHMSA,proposed In the NPRM the NPRM to to require operators perform integrity assessments of certain pipelines outside of HCAs operators perform integrity assessments of certain pipelines outside of HCAs integrity assessments of certain pipelines of certain pipelines certain pipelines outside of HCAs of HCAs HCAs,always,
283,Assessments Outside of HCAs (§ 192.710),"Following the discussion, the GPAC voted 10-0 that the provisions related to assessments outside of HCAs were technically feasible, reasonable, cost-effective, and practicable if PHMSA clarified that direct assessment can be used as an assessment method only if appropriate for the threat being assessed but cannot be used to assess threats for which direct assessment is not suitable; revised the initial assessment and reassessment intervals from 15 years and 20 years, respectively, to 14 years and 10 years, respectively, and with a risk-based prioritization; revised the applicability requirements to apply to lines with MAOPs of 30 percent SMYS or greater; and removed the provisions related to low-stress assessments.",the GPAC,"can voted Following the discussion the discussion 0 to assessments outside of HCAs assessments outside of HCAs outside of HCAs of HCAs HCAs that the provisions related to assessments outside of HCAs were technically feasible , reasonable , cost - effective , and practicable if PHMSA clarified that direct assessment can be used as an assessment method only if appropriate for the threat being assessed but can not be used to assess threats for which direct assessment is not suitable technically technically feasible , reasonable , cost - effective if PHMSA clarified that direct assessment can be used as an assessment method only if appropriate for the threat being assessed but can not be used to assess threats for which direct assessment is not suitable can be that direct assessment can be used as an assessment method only if appropriate for the threat being assessed but can not be used to assess threats for which direct assessment is not suitable as an assessment method an assessment method only only if appropriate for the threat being assessed for the threat being assessed being can be to to assess threats for which direct assessment is not suitable threats for which direct assessment is not suitable for which which suitable the initial assessment and reassessment intervals from 15 years and 20 years 15 years and 20 years respectively to 14 years and 10 years 14 years and 10 years respectively a risk - based prioritization to the applicability requirements to apply to lines with MAOPs of 30 percent SMYS or greater to lines with MAOPs of 30 percent SMYS or greater lines with MAOPs of 30 percent SMYS or greater with MAOPs of 30 percent SMYS or greater MAOPs of 30 percent SMYS or greater of 30 percent SMYS or greater 30 percent SMYS or greater the provisions related to low - stress assessments to low - stress assessments low - stress assessments",if,"['10-0 that', '15 years', '20 years', '14 years', '10 years', '30 percent']"
284,MAOP Reconfirmation Scope and Completion Date,"Following the discussion, the committee voted 13-0 that the provisions related to the scope for MAOP reconfirmation were technically feasible, reasonable, cost-effective, and practicable if PHMSA removed pipelines with previous reportable incidents due to crack defects from the applicability paragraph; addressed pipeline segments with crack incident history in a new paragraph under the IM requirements; withdrew the definitions for “modern pipe,” “legacy pipe,” and “legacy construction techniques;” revised a reference to necessary records within the applicability paragraph to refer to records needed for MAOP determination and not subpart J pressure test records; and revised the applicability of the requirements for grandfathered lines to apply only to those lines with MAOPs of 30 percent or greater of SMYS.",the committee,"revised Following the discussion the discussion Following the discussion , the committee voted 13 - 0 that the provisions related to the scope for MAOP reconfirmation were technically feasible , reasonable , cost - effective , and practicable if PHMSA removed pipelines with previous reportable incidents due to crack defects from the applicability paragraph ; addressed pipeline segments with crack incident history in a new paragraph under the IM requirements ; withdrew the definitions for “ modern pipe , ” “ legacy pipe , ” and “ legacy construction techniques 0 to the scope for MAOP reconfirmation the scope for MAOP reconfirmation for MAOP reconfirmation MAOP reconfirmation that the provisions related to the scope for MAOP reconfirmation were technically feasible , reasonable , cost - effective , and practicable if PHMSA removed pipelines with previous reportable incidents due to crack defects from the applicability paragraph technically technically feasible , reasonable , cost - effective if PHMSA removed pipelines with previous reportable incidents due to crack defects from the applicability paragraph pipelines with previous reportable incidents previous reportable incidents due to crack defects from the applicability paragraph to defects from the applicability paragraph from the applicability paragraph the applicability paragraph pipeline segments with crack incident history with crack incident history crack incident history in a new paragraph under the IM requirements a new paragraph under the IM requirements under the IM requirements the IM requirements the definitions for “ modern pipe “ modern pipe a reference to necessary records within the applicability paragraph to refer to records needed for MAOP determination and not subpart J pressure test records to necessary records within the applicability paragraph necessary records within the applicability paragraph within the applicability paragraph the applicability paragraph to to records needed for MAOP determination records needed for MAOP determination for MAOP determination MAOP determination J pressure test records the applicability of the requirements for grandfathered lines of the requirements for grandfathered lines the requirements for grandfathered lines for grandfathered lines grandfathered lines to to apply only to those lines with MAOPs of 30 percent or greater of SMYS only only to those lines with MAOPs of 30 percent or greater of SMYS those lines with MAOPs of 30 percent or greater of SMYS with MAOPs of 30 percent or greater of SMYS MAOPs of 30 percent or greater of SMYS of 30 percent 30 percent of SMYS SMYS",if,"['13-0 that', '30 percent']"
285,MAOP Reconfirmation Scope and Completion Date,The committee also recommended PHMSA review the costs and benefits of making the requirements applicable to Class 3 and Class 4 non-HCA pipe operating below 30 percent SMYS.,The committee,recommended also PHMSA review the costs and benefits of making the requirements applicable to Class 3 and Class 4 non - HCA pipe operating below 30 percent SMYS the costs and benefits of making the requirements applicable to Class 3 and Class 4 non - HCA pipe of making the requirements applicable to Class 3 and Class 4 non - HCA pipe the requirements applicable to Class 3 and Class 4 non - HCA pipe to Class 3 and Class 4 non - HCA pipe Class 3 and Class 4 non - HCA pipe operating below 30 percent SMYS below 30 percent SMYS 30 percent SMYS,always,"['3 and', '4 non', '30 percent']"
286,MAOP Reconfirmation Scope and Completion Date,"As for the completion date for the MAOP reconfirmation requirements, the GPAC voted 13-0 that the related provisions were technically feasible, reasonable, cost-effective, and practicable if PHMSA addressed how the completion plan and completion dates required by the section would apply to pipelines that currently do not meet the applicability conditions but may in the future.",the GPAC,"may voted As for the completion date for the MAOP reconfirmation requirements for the completion date for the MAOP reconfirmation requirements the completion date for the MAOP reconfirmation requirements for the MAOP reconfirmation requirements the MAOP reconfirmation requirements that the related provisions were technically feasible , reasonable , cost - effective , and practicable if PHMSA addressed how the completion plan and completion dates required by the section would apply to pipelines that currently do not meet the applicability conditions but may in the future technically technically feasible , reasonable , cost - effective if PHMSA addressed how the completion plan and completion dates required by the section would apply to pipelines that currently do not meet the applicability conditions but may in the future how the section would how the completion plan and completion dates required by the section would apply to pipelines that currently do not meet the applicability conditions but may in the future to pipelines that currently do not meet the applicability conditions pipelines that currently do not meet the applicability conditions currently do the applicability conditions in the future the future",if,['13-0 that']
287,MAOP Reconfirmation Scope and Completion Date,"The committee suggested PHMSA could add a phrase stating that operators must complete all actions required by the section on 100 percent of the applicable pipeline mileage 15 years after the effective date of the rule or, as soon as practicable but not to exceed 4 years after the pipeline segment first meets the applicability conditions, whichever date is later.",The committee,"must suggested could PHMSA could add a phrase stating that operators must complete all actions required by the section on 100 percent of the applicable pipeline mileage 15 years after the effective date of the rule or , as soon as practicable but not to exceed 4 years after the pipeline segment first meets the applicability conditions , whichever date is later a phrase stating that operators must complete all actions required by the section on 100 percent of the applicable pipeline mileage 15 years after the effective date of the rule or must that operators must complete all actions required by the section on 100 percent of the applicable pipeline mileage 15 years after the effective date of the rule or all actions required by the section on 100 percent of the applicable pipeline mileage the section on 100 percent of the applicable pipeline mileage on 100 percent of the applicable pipeline mileage 100 percent of the applicable pipeline mileage of the applicable pipeline mileage the applicable pipeline mileage 15 years after the effective date of the rule or the effective date of the rule of the rule the rule as as soon as practicable but as practicable but to 4 years first after the pipeline segment first meets the applicability conditions , whichever date is later the applicability conditions , whichever date is later later",15 years after the effective date of the rule or,"['100 percent', '15 years', '4 years']"
288,MAOP Reconfirmation: Methods 1 and 2 (Pressure Test and Pressure Reduction),"Similar to Method 1, PHMSA proposed operators taking a pressure reduction to reconfirm MAOP be required to estimate the remaining life of pipeline segments with crack defects.",PHMSA,proposed Similar to Method 1 to Method 1 Method 1 a pressure reduction to to reconfirm MAOP MAOP be operators taking a pressure reduction to reconfirm MAOP be required to estimate the remaining life of pipeline segments with crack defects to to estimate the remaining life of pipeline segments with crack defects the remaining life of pipeline segments with crack defects of pipeline segments pipeline segments with crack defects crack defects,always,['1']
289,MAOP Reconfirmation: Methods 1 and 2 (Pressure Test and Pressure Reduction),The GPAC members representing the industry argued that a “spike” test is more appropriate to include under IM requirements and that it is not,The GPAC members the,argued the industry that a “ spike ” test is more appropriate to include under IM requirements and that it is not more more appropriate to include under IM requirements to to include under IM requirements under IM requirements IM requirements,always,
290,MAOP Reconfirmation: Methods 1 and 2 (Pressure Test and Pressure Reduction),"The GPAC also recommended that if the pressure test segment does not have traceable, verifiable, and complete MAOP records, operators should use the best available information upon which the MAOP is currently based to perform the pressure test.",The GPAC,"should recommended also does if the pressure test segment does not have traceable , verifiable , and complete MAOP records traceable , verifiable , MAOP records should that if the pressure test segment does not have traceable , verifiable , and complete MAOP records , operators should use the best available information upon which the MAOP is currently based to perform the pressure test the best available information upon which the MAOP is currently based to perform the pressure test upon which which is currently to to perform the pressure test the pressure test",if,
291,MAOP Reconfirmation: Methods 1 and 2 (Pressure Test and Pressure Reduction),"The committee recommended PHMSA require operators of such pipeline segments add those segments to its plan for opportunistically verifying material properties in accordance with the material properties verification requirements, noting that most pressure tests will present at least two opportunities for material properties verification at the test manifolds.",The committee,will recommended PHMSA require operators of such pipeline segments operators of such pipeline segments of such pipeline segments such pipeline segments those segments to its plan for opportunistically verifying material properties its plan for opportunistically verifying material properties for opportunistically verifying material properties opportunistically opportunistically verifying material properties in accordance with the material properties accordance with the material properties with the material properties the material properties verification requirements noting that most pressure tests will present at least two opportunities for material properties verification at the test manifolds will that most pressure tests will present at least two opportunities for material properties verification at the test manifolds at at least at least two opportunities for material properties verification at the test manifolds for material properties verification at the test manifolds material properties verification at the test manifolds at the test manifolds the test manifolds,always,
292,MAOP Reconfirmation: Methods 1 and 2 (Pressure Test and Pressure Reduction),"As for the pressure reduction method of MAOP reconfirmation, the GPAC voted 12-0 that the related provisions were technically feasible, reasonable, cost-effective, and practicable if PHMSA increased the look-back period from 18 months to 5 years and removed the requirement for operators to perform fracture mechanics analysis on those pipeline segments where the pressure is being reduced to reconfirm the MAOP.",the GPAC,"voted As for the pressure reduction method of MAOP reconfirmation for the pressure reduction method of MAOP reconfirmation the pressure reduction method of MAOP reconfirmation of MAOP reconfirmation MAOP reconfirmation - 0 that the related provisions were technically feasible , reasonable , cost - effective , and practicable if PHMSA increased the look - back period from 18 months to 5 years and removed the requirement for operators to perform fracture mechanics analysis on those pipeline segments where the pressure is being reduced to reconfirm the MAOP technically technically feasible , reasonable , cost - effective if PHMSA increased the look - back period from 18 months to 5 years and removed the requirement for operators to perform fracture mechanics analysis on those pipeline segments where the pressure is being reduced to reconfirm the MAOP the look - back period from 18 months to 5 years 18 months to 5 years 5 years the requirement to for operators to perform fracture mechanics analysis on those pipeline segments where the pressure is being reduced to reconfirm the MAOP fracture mechanics analysis on those pipeline segments on those pipeline segments those pipeline segments where is being where the pressure is being reduced to reconfirm the MAOP to to reconfirm the MAOP the MAOP",if,"['12-0 that', '18 months', '5 years']"
293,MAOP Reconfirmation: Method 3 (Engineering Critical Assessment and Fracture Mechanics),"This method would require specific technical documentation and material properties verification, and it would require operators analyze crack, metal loss, and interacting defects remaining in the pipe, or that could remain in the pipe, to determine the PFP.",This method,"require would specific technical documentation and material properties verification would operators analyze crack , metal loss , and crack , metal loss interacting defects remaining in the pipe defects remaining in the pipe in the pipe the pipe could in the pipe the pipe to to determine the PFP the PFP",always,
294,MAOP Reconfirmation: Method 3 (Engineering Critical Assessment and Fracture Mechanics),Most of the GPAC discussion on this portion of MAOP reconfirmation related to the specific values used in the fracture mechanics analysis portion of the ECA and whether those requirements would best be located in a section independent from the MAOP reconfirmation requirements.,Not found,,always,
295,MAOP Reconfirmation: Method 3 (Engineering Critical Assessment and Fracture Mechanics),"During the meetings, PHMSA noted it would consider creating a stand-alone fracture mechanics section that could be referenced when the procedure is needed or required by other sections of the regulations.",PHMSA,noted During the meetings the meetings would it would consider creating a stand - alone fracture mechanics section that could be referenced the procedure is needed or when required by other sections of the regulations creating a stand - alone fracture mechanics section that could be referenced the procedure is needed or when required by other sections of the regulations a stand - alone fracture mechanics section that could be referenced the procedure is needed or when required by other sections of the regulations could be is the procedure is needed or when required by other sections of the regulations when other sections of the regulations of the regulations the regulations,During the meetings,
296,MAOP Reconfirmation: Method 3 (Engineering Critical Assessment and Fracture Mechanics),"Following the discussion, the GPAC voted 12-0 that the provisions related to the ECA method of MAOP reconfirmation and fracture mechanics were technically feasible, reasonable, cost-effective, and practicable if PHMSA moved the fracture mechanics requirements to a stand-alone section in the regulations.",the GPAC,"voted Following the discussion the discussion - 0 to the ECA method of MAOP reconfirmation and fracture mechanics the ECA method of MAOP reconfirmation and fracture mechanics of MAOP reconfirmation and fracture mechanics MAOP reconfirmation and fracture mechanics that the provisions related to the ECA method of MAOP reconfirmation and fracture mechanics were technically feasible , reasonable , cost - effective , and practicable if PHMSA moved the fracture mechanics requirements to a stand - alone section in the regulations technically technically feasible , reasonable , cost - effective if PHMSA moved the fracture mechanics requirements to a stand - alone section in the regulations the fracture mechanics requirements to a stand - alone section in the regulations a stand - alone section in the regulations in the regulations the regulations",if,['12-0 that']
297,MAOP Reconfirmation: Method 3 (Engineering Critical Assessment and Fracture Mechanics),"The GPAC recommended the section not specify when, or for which pipeline segments, fracture mechanics analysis would be required, but instead provide a procedure by which operators needing to perform fracture mechanics analysis could do so.",The GPAC,"recommended the section not specify when , or for which pipeline segments , fracture mechanics analysis would be required , but instead provide a procedure by which operators needing to perform fracture mechanics analysis could do so when for which which would be instead a procedure by which operators needing to perform fracture mechanics analysis could do so by which which to to perform fracture mechanics analysis fracture mechanics analysis could so",when,
